id,code,name,unit,unit_cost,quantity,cost,supplier,invoice,created_date
,899900545,Карт.жаркое с кур.,шт.,500,3575,1787500,База мяспром,Н234 от 21-11-2022,
,792320003,бекон,кг,70,7,490,База мяспром,Н234 от 21-11-2022,
,792320008,брокколи заморож.,кг,70,259,18130,Фермерское хозяйство,Н234 от 21-11-2022,
,792320347,гарнир,шт.,120,6667,800040,Компания «Консервов»,Н234 от 21-11-2022,
,792330077,говядина гриль,кг,800,804,643200,База мяспром,Н234 от 21-11-2022,
,792320016,говяжьи котлеты,кг,70,531,37170,База мяспром,Н234 от 21-11-2022,
,792320094,грибная смесь,кг,70,342,23940,Фермерское хозяйство,Н234 от 21-11-2022,
,792320218,запеканка твор. гот.,шт.,120,2280,273600,Компания «Консервов»,Н234 от 21-11-2022,
,792340009,картофель отварной,кг,430,250,107500,Фермерское хозяйство,Н234 от 21-11-2022,
,792320201,котлета по-киевски,шт.,70,3744,262080,База мяспром,Н234 от 21-11-2022,
,792310058,кукуруза консерв.,кг,150,27,4050,Компания «Консервов»,Н234 от 21-11-2022,
,792320227,куриное филе дет.60г,шт.,120,5447,653640,База мяспром,Н234 от 21-11-2022,
,792320045,куриные медальоны,кг,70,617,43190,База мяспром,Н234 от 21-11-2022,
,792340012,лук зеленый,кг,430,204,87720,Фермерское хозяйство,Н234 от 21-11-2022,
,792320052,лук нар. заморож.,кг,70,199,13930,Фермерское хозяйство,Н234 от 21-11-2022,
,792330015,масло сливочное,кг,600,6,3600,Компания «Консервов»,Н234 от 21-11-2022,
,792310143,орехи грецкие 300,кг,800,18,14400,Компания «Консервов»,Н234 от 21-11-2022,
,792310087,пассеровка белая,кг,150,3,450,Компания «Консервов»,Н234 от 21-11-2022,
,792310098,рис белый,кг,150,164,24600,Хлебокомбинат «Колос»,Н234 от 21-11-2022,
,792310110,свекла консервиров,кг,400,136,54400,Компания «Консервов»,Н234 от 21-11-2022,
,899901012,сельдь с укропом2200,кг,280,136,38080,Компания «Консервов»,Н234 от 21-11-2022,
,792330026,сливки 33%,кг,400,125,50000,База мяспром,Н234 от 21-11-2022,
,792330029,сметана 15% 900 г,кг,400,60,24000,Компания «Консервов»,Н234 от 21-11-2022,
,792330090,соус барбекю,кг,430,29,12470,Компания «Консервов»,Н234 от 21-11-2022,
,792310122,соус кис-слад с овощ,кг,400,120,48000,Компания «Консервов»,Н234 от 21-11-2022,
,792330041,сыр Гауда тертый,кг,430,174,74820,Компания «Консервов»,Н234 от 21-11-2022,
,792310129,томатная паста,кг,400,15,6000,Компания «Консервов»,Н234 от 21-11-2022,
,792310139,фасоль красная,кг,88,53,4664,Компания «Консервов»,Н234 от 21-11-2022,
,792330054,яйцо вареное,шт.,430,1869,803670,База мяспром,Н234 от 21-11-2022,
