id,name,code,unit,price,sold,date,created_date
,брокколи с сыром,420346232,шт.,192,36,2023-01-24,
,буррито вегетар.,430343394,шт.,214,450,2023-01-24,
,говядина по-бургундк,400356359,шт.,184,486,2023-01-24,
,говядина с картоф.,400331689,шт.,147,426,2023-01-24,
,говядина с соусом,400331665,шт.,186,444,2023-01-24,
,говядина сыр и барбе,400341947,шт.,203,480,2023-01-24,
,жульен грибной,440359723,шт.,189,420,2023-01-24,
,запеканка твор.готов,450338990,шт.,193,438,2023-01-24,
,карт.жаркое с курице,999900632,шт.,215,474,2023-01-24,
,котлета домашняя,430334436,шт.,185,414,2023-01-24,
,котлета по-киевски,460351207,шт.,148,432,2023-01-24,
,куп кур.медальоны,430343370,шт.,204,468,2023-01-24,
,кур. с орех соусом2,420346213,шт.,190,408,2023-01-24,
,салат с сельдью Люци,400344658,шт.,148,426,2023-01-24,
,брокколи с сыром,420346232,шт.,192,45,2023-01-25,
,буррито вегетар.,430343394,шт.,214,585,2023-01-25,
,говядина по-бургундк,400356359,шт.,184,630,2023-01-25,
,говядина с картоф.,400331689,шт.,147,552,2023-01-25,
,говядина с соусом,400331665,шт.,186,576,2023-01-25,
,говядина сыр и барбе,400341947,шт.,203,624,2023-01-25,
,жульен грибной,440359723,шт.,189,546,2023-01-25,
,запеканка твор.готов,450338990,шт.,193,567,2023-01-25,
,карт.жаркое с курице,999900632,шт.,215,615,2023-01-25,
,котлета домашняя,430334436,шт.,185,537,2023-01-25,
,котлета по-киевски,460351207,шт.,148,561,2023-01-25,
,куп кур.медальоны,430343370,шт.,204,606,2023-01-25,
,кур. с орех соусом2,420346213,шт.,190,528,2023-01-25,
,салат с сельдью Люци,400344658,шт.,148,552,2023-01-25,
,брокколи с сыром,420346232,шт.,192,21,2023-01-26,
,буррито вегетар.,430343394,шт.,214,270,2023-01-26,
,говядина по-бургундк,400356359,шт.,184,291,2023-01-26,
,говядина с картоф.,400331689,шт.,147,255,2023-01-26,
,говядина с соусом,400331665,шт.,186,264,2023-01-26,
,говядина сыр и барбе,400341947,шт.,203,288,2023-01-26,
,жульен грибной,440359723,шт.,189,252,2023-01-26,
,запеканка твор.готов,450338990,шт.,193,261,2023-01-26,
,карт.жаркое с курице,999900632,шт.,215,282,2023-01-26,
,котлета домашняя,430334436,шт.,185,246,2023-01-26,
,котлета по-киевски,460351207,шт.,148,258,2023-01-26,
,куп кур.медальоны,430343370,шт.,204,279,2023-01-26,
,кур. с орех соусом2,420346213,шт.,190,243,2023-01-26,
,салат с сельдью Люци,400344658,шт.,148,255,2023-01-26,
